City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,2022-09-29 18:24:53,71.9667,102.5,28.31,96,100,4.52
1,Ribeira Grande,PT,2022-09-29 18:21:46,38.5167,-28.7,72.0,60,40,11.5
2,Apache Junction,US,2022-09-29 18:24:54,33.4151,-111.5496,93.16,20,0,7.0
3,Busselton,AU,2022-09-29 18:21:38,-33.65,115.3333,57.78,63,0,11.74
4,Cockburn Town,TC,2022-09-29 18:24:55,21.4612,-71.1419,81.21,75,4,11.79
5,Lompoc,US,2022-09-29 18:24:55,34.6391,-120.4579,85.01,73,40,5.99
6,Brenham,US,2022-09-29 18:20:04,30.1669,-96.3977,84.15,30,0,3.44
7,Kutum,SD,2022-09-29 18:24:56,14.2,24.6667,80.38,40,97,7.27
8,Upington,ZA,2022-09-29 18:21:52,-28.4478,21.2561,84.58,26,40,10.36
9,Atuona,PF,2022-09-29 18:21:44,-9.8,-139.0333,75.99,70,20,21.7
10,Upernavik,GL,2022-09-29 18:24:56,72.7868,-56.1549,21.58,86,14,9.1
11,Coffs Harbour,AU,2022-09-29 18:24:57,-30.3,153.1333,64.13,72,48,11.5
12,Mildura,AU,2022-09-29 18:24:57,-34.2,142.15,45.07,89,10,8.81
13,Road Town,VG,2022-09-29 18:23:35,18.4167,-64.6167,80.64,89,40,9.22
14,Worland,US,2022-09-29 18:22:50,44.0169,-107.9554,79.68,28,0,4.61
15,Cabinda,AO,2022-09-29 18:24:58,-5.55,12.2,78.94,78,75,8.05
16,Albany,US,2022-09-29 18:17:51,42.6001,-73.9662,61.45,63,15,7.85
17,Punta Arenas,CL,2022-09-29 18:17:48,-53.15,-70.9167,55.51,44,40,23.02
18,Rikitea,PF,2022-09-29 18:21:44,-23.1203,-134.9692,72.37,60,1,9.6
19,Lasa,IT,2022-09-29 18:24:58,46.6166,10.7002,52.68,98,100,1.7
20,Klyuchi,RU,2022-09-29 18:24:59,52.2667,79.1667,28.0,75,69,8.03
21,Yetkul,RU,2022-09-29 18:21:21,54.8221,61.588,33.33,52,82,8.86
22,Rio Cuarto,AR,2022-09-29 18:20:18,-33.1307,-64.3499,72.34,26,40,18.41
23,Sao Joao Da Barra,BR,2022-09-29 18:24:59,-21.6403,-41.0511,71.69,92,100,13.51
24,East London,ZA,2022-09-29 18:25:00,-33.0153,27.9116,61.74,100,100,3.44
25,Jamestown,US,2022-09-29 18:25:00,42.097,-79.2353,58.01,53,40,8.05
26,Naryan-Mar,RU,2022-09-29 18:25:01,67.6713,53.087,28.26,79,10,8.3
27,Port Alfred,ZA,2022-09-29 18:25:01,-33.5906,26.891,61.18,95,100,12.93
28,Oussouye,SN,2022-09-29 18:25:02,12.485,-16.5469,89.78,78,100,4.23
29,Nikolskoye,RU,2022-09-29 18:25:03,59.7035,30.7861,46.8,93,100,5.3
30,Pedernales,DO,2022-09-29 18:25:04,18.0384,-71.744,83.07,69,5,5.84
31,Salym,RU,2022-09-29 18:25:04,60.0625,71.4789,25.65,82,86,5.35
32,Pevek,RU,2022-09-29 18:25:05,69.7008,170.3133,26.22,68,2,4.92
33,Praia Da Vitoria,PT,2022-09-29 18:25:05,38.7333,-27.0667,71.85,68,40,5.99
34,Klaksvik,FO,2022-09-29 18:25:05,62.2266,-6.589,47.32,82,98,19.98
35,Satipo,PE,2022-09-29 18:25:06,-11.2522,-74.6386,87.33,52,33,1.86
36,Kargil,IN,2022-09-29 18:25:07,34.5667,76.1,48.74,58,74,1.57
37,Ponta Do Sol,PT,2022-09-29 18:25:07,32.6667,-17.1,74.71,75,33,4.74
38,Vaini,TO,2022-09-29 18:25:08,-21.2,-175.2,71.76,83,20,8.05
39,Thompson,CA,2022-09-29 18:22:02,55.7435,-97.8558,51.96,87,75,11.5
40,Grindavik,IS,2022-09-29 18:25:08,63.8424,-22.4338,50.47,100,100,23.02
41,Chifeng,CN,2022-09-29 18:25:09,42.2683,118.9636,65.93,44,69,4.99
42,Butaritari,KI,2022-09-29 18:25:09,3.0707,172.7902,82.45,72,98,18.41
43,Hobart,AU,2022-09-29 18:20:50,-42.8794,147.3294,40.05,93,49,9.22
44,Ambulu,ID,2022-09-29 18:25:10,-8.345,113.6058,76.33,86,97,0.72
